category_id,category_name,description
1,Electronics,Electronic devices and accessories
2,Computers,"Laptops, desktops and computer accessories"
3,Mobiles,Mobile phones and accessories
4,Audio,"Headphones, speakers and audio devices"
5,Gaming,Gaming consoles and accessories
6,Cameras,Digital cameras and accessories
7,Books,Books and educational material
8,Stationery,Office and school stationery
9,Home Appliances,Appliances for home use
10,Kitchen,Kitchen appliances and equipment
11,Furniture,Home and office furniture
12,Clothing,Clothing and fashion products
13,Footwear,Shoes and footwear
14,Sports,Sports equipment and accessories
15,Fitness,Fitness and workout equipment
16,Beauty,Beauty and personal care products
17,Toys,Toys and games for children
18,Groceries,Food and grocery products
19,Accessories,General accessories
20,Office,Office equipment and supplies
